,speech
111,"{'sdr': 5.685854554176331, 'r2': 0.7873820066452026, 'rmse': 0.029221823}"
112,"{'sdr': 6.167087554931641, 'r2': 0.8053398132324219, 'rmse': 0.027646847}"
113,"{'sdr': 5.9416663646698, 'r2': 0.7970756888389587, 'rmse': 0.028373746}"
114,"{'sdr': 1.8905185163021088, 'r2': 0.6071403920650482, 'rmse': 0.04523495}"
115,"{'sdr': 2.4440623819828033, 'r2': 0.6370923221111298, 'rmse': 0.042442106}"
116,"{'sdr': 5.1057761907577515, 'r2': 0.764165535569191, 'rmse': 0.031240016}"
117,"{'sdr': 3.521755039691925, 'r2': 0.6923068165779114, 'rmse': 0.037489727}"
118,"{'sdr': 3.062452971935272, 'r2': 0.6693300306797028, 'rmse': 0.039525505}"
119,"{'sdr': 4.196007251739502, 'r2': 0.7243514657020569, 'rmse': 0.03468963}"
120,"{'sdr': 5.121244788169861, 'r2': 0.7648056596517563, 'rmse': 0.031184427}"
121,"{'sdr': 2.101508229970932, 'r2': 0.6186659932136536, 'rmse': 0.044149384}"
122,"{'sdr': 3.0468979477882385, 'r2': 0.6685367524623871, 'rmse': 0.03959634}"
123,"{'sdr': 3.174658417701721, 'r2': 0.6750250160694122, 'rmse': 0.039018188}"
124,"{'sdr': 5.176067352294922, 'r2': 0.76706762611866, 'rmse': 0.030988226}"
125,"{'sdr': 3.1019026041030884, 'r2': 0.6713360548019409, 'rmse': 0.039346386}"
126,"{'sdr': 4.847193956375122, 'r2': 0.7532658576965332, 'rmse': 0.032184023}"
127,"{'sdr': 4.848992824554443, 'r2': 0.7533388435840607, 'rmse': 0.032177355}"
128,"{'sdr': 4.31085079908371, 'r2': 0.7296041250228882, 'rmse': 0.034233987}"
129,"{'sdr': 2.831285297870636, 'r2': 0.6574466526508331, 'rmse': 0.040591564}"
130,"{'sdr': 4.720406532287598, 'r2': 0.7478002905845642, 'rmse': 0.032657254}"
131,"{'sdr': 3.5055702924728394, 'r2': 0.6915097832679749, 'rmse': 0.037559647}"
132,"{'sdr': 5.331637859344482, 'r2': 0.7734061926603317, 'rmse': 0.03043814}"
133,"{'sdr': 3.5395196080207825, 'r2': 0.693176656961441, 'rmse': 0.03741313}"
134,"{'sdr': 3.4338507056236267, 'r2': 0.6879758834838867, 'rmse': 0.037871063}"
135,"{'sdr': 4.690635800361633, 'r2': 0.7465250194072723, 'rmse': 0.03276938}"
136,"{'sdr': 7.267299294471741, 'r2': 0.8420229554176331, 'rmse': 0.02435763}"
137,"{'sdr': 7.3289138078689575, 'r2': 0.8439009189605713, 'rmse': 0.024185454}"
138,"{'sdr': 3.3794456720352173, 'r2': 0.6852800846099854, 'rmse': 0.038109016}"
139,"{'sdr': 2.9724761843681335, 'r2': 0.6647284626960754, 'rmse': 0.039937075}"
140,"{'sdr': 4.412747323513031, 'r2': 0.7342068552970886, 'rmse': 0.033834722}"
141,"{'sdr': 4.914389550685883, 'r2': 0.75613072514534, 'rmse': 0.031936005}"
142,"{'sdr': 2.5137948989868164, 'r2': 0.6407971084117889, 'rmse': 0.04210273}"
143,"{'sdr': 4.030609726905823, 'r2': 0.7166859805583954, 'rmse': 0.03535652}"
144,"{'sdr': 3.008168935775757, 'r2': 0.6665566265583038, 'rmse': 0.039773297}"
145,"{'sdr': 5.33489465713501, 'r2': 0.7735391706228256, 'rmse': 0.030426733}"
146,"{'sdr': 6.988850831985474, 'r2': 0.8333058059215546, 'rmse': 0.02515113}"
147,"{'sdr': 2.0986077189445496, 'r2': 0.6185081005096436, 'rmse': 0.044164125}"
148,"{'sdr': 3.189098834991455, 'r2': 0.675751656293869, 'rmse': 0.038953383}"
149,"{'sdr': 2.7267181873321533, 'r2': 0.651997983455658, 'rmse': 0.041083187}"
150,"{'sdr': 4.465303421020508, 'r2': 0.7365617752075195, 'rmse': 0.033630617}"
151,"{'sdr': 10.050585269927979, 'r2': 0.9100489020347595, 'rmse': 0.017679531}"
152,"{'sdr': 4.4436028599739075, 'r2': 0.7355910539627075, 'rmse': 0.033714745}"
153,"{'sdr': 4.127842485904694, 'r2': 0.7212094664573669, 'rmse': 0.034962937}"
154,"{'sdr': 4.42135363817215, 'r2': 0.7345811426639557, 'rmse': 0.033801217}"
155,"{'sdr': 4.123342037200928, 'r2': 0.7210014462471008, 'rmse': 0.034981057}"
156,"{'sdr': 4.305112361907959, 'r2': 0.7293409407138824, 'rmse': 0.03425661}"
157,"{'sdr': 4.150814712047577, 'r2': 0.7222721576690674, 'rmse': 0.034870587}"
158,"{'sdr': 0.40725596249103546, 'r2': 0.5234288573265076, 'rmse': 0.053658333}"
159,"{'sdr': 0.5554329231381416, 'r2': 0.5319297015666962, 'rmse': 0.052750714}"
160,"{'sdr': 2.163255959749222, 'r2': 0.6220145523548126, 'rmse': 0.043836635}"
161,"{'sdr': 4.463901221752167, 'r2': 0.7364983260631561, 'rmse': 0.03363605}"
162,"{'sdr': 0.08605340495705605, 'r2': 0.5049503445625305, 'rmse': 0.05567976}"
163,"{'sdr': 4.210490882396698, 'r2': 0.725020170211792, 'rmse': 0.03463183}"
164,"{'sdr': 3.4289315342903137, 'r2': 0.687730461359024, 'rmse': 0.037892517}"
165,"{'sdr': 4.696865677833557, 'r2': 0.7467764019966125, 'rmse': 0.03274589}"
166,"{'sdr': 5.573983192443848, 'r2': 0.7830380648374557, 'rmse': 0.029600624}"
167,"{'sdr': 3.5713350772857666, 'r2': 0.6947307586669922, 'rmse': 0.03727634}"
168,"{'sdr': 3.412441313266754, 'r2': 0.6869165897369385, 'rmse': 0.037964527}"
169,"{'sdr': 6.637656092643738, 'r2': 0.821768656373024, 'rmse': 0.026188895}"
170,"{'sdr': 7.295485138893127, 'r2': 0.8428838104009628, 'rmse': 0.024278719}"
171,"{'sdr': 2.986721396446228, 'r2': 0.665459007024765, 'rmse': 0.03987163}"
172,"{'sdr': 6.741905212402344, 'r2': 0.8252574056386948, 'rmse': 0.025876453}"
173,"{'sdr': 4.808745384216309, 'r2': 0.7516150921583176, 'rmse': 0.0323268}"
174,"{'sdr': 4.252701997756958, 'r2': 0.7269527316093445, 'rmse': 0.034463942}"
175,"{'sdr': 11.372787952423096, 'r2': 0.9320532381534576, 'rmse': 0.015183108}"
176,"{'sdr': 3.9448535442352295, 'r2': 0.7126595675945282, 'rmse': 0.035707325}"
177,"{'sdr': 7.575654983520508, 'r2': 0.8512226045131683, 'rmse': 0.023508089}"
178,"{'sdr': 3.935331404209137, 'r2': 0.7122101783752441, 'rmse': 0.035746492}"
179,"{'sdr': 8.333645462989807, 'r2': 0.8720148950815201, 'rmse': 0.021543574}"
180,"{'sdr': 5.39947509765625, 'r2': 0.7761337906122208, 'rmse': 0.030201344}"
181,"{'sdr': 6.531922221183777, 'r2': 0.8181725144386292, 'rmse': 0.026509646}"
182,"{'sdr': 1.3463327288627625, 'r2': 0.5768863558769226, 'rmse': 0.048159655}"
183,"{'sdr': 5.864314436912537, 'r2': 0.7941797226667404, 'rmse': 0.02862756}"
184,"{'sdr': 2.2849348187446594, 'r2': 0.6285792291164398, 'rmse': 0.04322682}"
185,"{'sdr': 2.9723477363586426, 'r2': 0.6647219061851501, 'rmse': 0.03993766}"
186,"{'sdr': 2.212534546852112, 'r2': 0.6246782839298248, 'rmse': 0.043588635}"
187,"{'sdr': 4.934183955192566, 'r2': 0.7569699883460999, 'rmse': 0.031863306}"
188,"{'sdr': 2.5682616233825684, 'r2': 0.6436741054058075, 'rmse': 0.041839544}"
189,"{'sdr': 1.4074331521987915, 'r2': 0.5803250372409821, 'rmse': 0.04782207}"
190,"{'sdr': 2.623751163482666, 'r2': 0.6466028690338135, 'rmse': 0.041573104}"
191,"{'sdr': 5.438188910484314, 'r2': 0.777678370475769, 'rmse': 0.030067034}"
192,"{'sdr': 4.109256565570831, 'r2': 0.7203486263751984, 'rmse': 0.035037827}"
193,"{'sdr': 3.730098605155945, 'r2': 0.7024278938770294, 'rmse': 0.036601182}"
194,"{'sdr': 2.6790645718574524, 'r2': 0.6495080888271332, 'rmse': 0.0413092}"
195,"{'sdr': 2.2266457974910736, 'r2': 0.6254401504993439, 'rmse': 0.04351788}"
196,"{'sdr': 3.6776864528656006, 'r2': 0.6998996436595917, 'rmse': 0.0368227}"
197,"{'sdr': 5.70514976978302, 'r2': 0.7881253063678741, 'rmse': 0.029156981}"
