,speech
3299,"{'sdr': -1.2042928487062454, 'r2': 0.4311710596084595, 'rmse': 0.06459734}"
3300,"{'sdr': -1.3215136528015137, 'r2': 0.42450910806655884, 'rmse': 0.065475024}"
3301,"{'sdr': -1.853579431772232, 'r2': 0.3948896527290344, 'rmse': 0.069611184}"
3302,"{'sdr': -1.8972067534923553, 'r2': 0.39249271154403687, 'rmse': 0.0699617}"
3303,"{'sdr': -0.9642410278320312, 'r2': 0.4447208046913147, 'rmse': 0.062836505}"
3304,"{'sdr': -1.2392894178628922, 'r2': 0.42914098501205444, 'rmse': 0.064858146}"
3305,"{'sdr': -1.5604645013809204, 'r2': 0.41112399101257324, 'rmse': 0.06730126}"
3306,"{'sdr': -1.3822156190872192, 'r2': 0.42109984159469604, 'rmse': 0.0659342}"
3307,"{'sdr': -0.8122648298740387, 'r2': 0.45337778329849243, 'rmse': 0.061746627}"
3308,"{'sdr': -1.4949038624763489, 'r2': 0.4147864580154419, 'rmse': 0.066795185}"
3309,"{'sdr': -1.5739044547080994, 'r2': 0.4103759527206421, 'rmse': 0.067405485}"
3310,"{'sdr': -1.4529822766780853, 'r2': 0.4171310067176819, 'rmse': 0.06647359}"
3311,"{'sdr': -0.976506844162941, 'r2': 0.4440231919288635, 'rmse': 0.06292532}"
3312,"{'sdr': -1.0042191296815872, 'r2': 0.44244784116744995, 'rmse': 0.06312639}"
3313,"{'sdr': -1.343553215265274, 'r2': 0.4232698678970337, 'rmse': 0.06564137}"
3314,"{'sdr': -1.3918234407901764, 'r2': 0.4205586314201355, 'rmse': 0.066007175}"
3315,"{'sdr': -1.0842347890138626, 'r2': 0.43790751695632935, 'rmse': 0.063710615}"
3316,"{'sdr': -1.5096183121204376, 'r2': 0.4139662981033325, 'rmse': 0.06690844}"
3317,"{'sdr': -1.3347694277763367, 'r2': 0.42376381158828735, 'rmse': 0.06557502}"
3318,"{'sdr': -1.3564002513885498, 'r2': 0.42254775762557983, 'rmse': 0.065738544}"
3319,"{'sdr': -1.2265288829803467, 'r2': 0.4298609495162964, 'rmse': 0.06476292}"
3320,"{'sdr': -1.3667678833007812, 'r2': 0.4219650626182556, 'rmse': 0.06581704}"
3321,"{'sdr': -0.9721722453832626, 'r2': 0.4442594647407532, 'rmse': 0.062893905}"
3322,"{'sdr': -0.9335572272539139, 'r2': 0.44646406173706055, 'rmse': 0.062614925}"
3323,"{'sdr': -0.9689518809318542, 'r2': 0.44445282220840454, 'rmse': 0.0628706}"
3324,"{'sdr': -1.0290230810642242, 'r2': 0.4410170316696167, 'rmse': 0.06330692}"
3325,"{'sdr': -1.0710123181343079, 'r2': 0.43865710496902466, 'rmse': 0.06361369}"
3326,"{'sdr': -1.3993249833583832, 'r2': 0.42013823986053467, 'rmse': 0.066064216}"
3327,"{'sdr': -1.4018483459949493, 'r2': 0.41999638080596924, 'rmse': 0.06608342}"
3328,"{'sdr': -0.8022299408912659, 'r2': 0.4539508819580078, 'rmse': 0.061675336}"
3329,"{'sdr': -1.2181297689676285, 'r2': 0.4303351044654846, 'rmse': 0.064700335}"
3330,"{'sdr': -1.3464432954788208, 'r2': 0.42310523986816406, 'rmse': 0.06566321}"
3331,"{'sdr': -1.872013807296753, 'r2': 0.39387625455856323, 'rmse': 0.06975908}"
3332,"{'sdr': -1.0963097959756851, 'r2': 0.43722420930862427, 'rmse': 0.06379925}"
3333,"{'sdr': -1.819128543138504, 'r2': 0.3967869281768799, 'rmse': 0.06933563}"
3334,"{'sdr': -1.249484121799469, 'r2': 0.428566038608551, 'rmse': 0.064934306}"
3335,"{'sdr': -1.3723091781139374, 'r2': 0.421653151512146, 'rmse': 0.06585906}"
3336,"{'sdr': -0.8195502310991287, 'r2': 0.4529632329940796, 'rmse': 0.06179844}"
3337,"{'sdr': -0.7810135185718536, 'r2': 0.4551616311073303, 'rmse': 0.061524864}"
3338,"{'sdr': -1.3910181820392609, 'r2': 0.42060422897338867, 'rmse': 0.06600105}"
3339,"{'sdr': -0.6498641520738602, 'r2': 0.46266043186187744, 'rmse': 0.060602874}"
3340,"{'sdr': -1.6002349555492401, 'r2': 0.4089113473892212, 'rmse': 0.06761012}"
3341,"{'sdr': -1.3653333485126495, 'r2': 0.42204606533050537, 'rmse': 0.06580618}"
3342,"{'sdr': -1.4362849295139313, 'r2': 0.418066143989563, 'rmse': 0.06634592}"
3343,"{'sdr': -1.1044323444366455, 'r2': 0.436764121055603, 'rmse': 0.063858934}"
3344,"{'sdr': -1.389540433883667, 'r2': 0.42068713903427124, 'rmse': 0.06598983}"
3345,"{'sdr': -1.1363446712493896, 'r2': 0.4349660277366638, 'rmse': 0.064093985}"
3346,"{'sdr': -1.2429951131343842, 'r2': 0.42893195152282715, 'rmse': 0.06488582}"
3347,"{'sdr': -1.5072494745254517, 'r2': 0.41409629583358765, 'rmse': 0.066890195}"
3348,"{'sdr': -1.1944827437400818, 'r2': 0.4316701889038086, 'rmse': 0.064524435}"
3349,"{'sdr': -1.2366268038749695, 'r2': 0.42929065227508545, 'rmse': 0.06483826}"
3350,"{'sdr': -1.1804471164941788, 'r2': 0.4324624538421631, 'rmse': 0.06442024}"
3351,"{'sdr': 4.423858821392059, 'r2': 0.7347049415111542, 'rmse': 0.033791475}"
3352,"{'sdr': -1.5327024459838867, 'r2': 0.41266870498657227, 'rmse': 0.0670865}"
3353,"{'sdr': -1.6671140491962433, 'r2': 0.40519458055496216, 'rmse': 0.06813271}"
3354,"{'sdr': -1.2345772236585617, 'r2': 0.4294067621231079, 'rmse': 0.06482296}"
3355,"{'sdr': -1.0693832486867905, 'r2': 0.43874990940093994, 'rmse': 0.06360177}"
3356,"{'sdr': -1.328740268945694, 'r2': 0.4241027235984802, 'rmse': 0.065529525}"
3357,"{'sdr': -1.2729460000991821, 'r2': 0.42724233865737915, 'rmse': 0.06510994}"
3358,"{'sdr': -1.6102181375026703, 'r2': 0.4083560109138489, 'rmse': 0.06768789}"
3359,"{'sdr': -0.9773435443639755, 'r2': 0.4439757466316223, 'rmse': 0.062931366}"
3360,"{'sdr': -1.3211746513843536, 'r2': 0.42452776432037354, 'rmse': 0.06547246}"
3361,"{'sdr': -0.8610887825489044, 'r2': 0.45059019327163696, 'rmse': 0.062094685}"
3362,"{'sdr': -1.3329169154167175, 'r2': 0.42386752367019653, 'rmse': 0.06556104}"
3363,"{'sdr': -0.8653724193572998, 'r2': 0.45034927129745483, 'rmse': 0.06212532}"
3364,"{'sdr': -1.8015764653682709, 'r2': 0.397754967212677, 'rmse': 0.06919566}"
3365,"{'sdr': -1.7506803572177887, 'r2': 0.40056556463241577, 'rmse': 0.06879138}"
3366,"{'sdr': -0.8448175340890884, 'r2': 0.45152127742767334, 'rmse': 0.06197847}"
3367,"{'sdr': -1.570553183555603, 'r2': 0.41056394577026367, 'rmse': 0.06737949}"
3368,"{'sdr': -1.086791306734085, 'r2': 0.43776315450668335, 'rmse': 0.06372935}"
3369,"{'sdr': -1.5955440700054169, 'r2': 0.4091721773147583, 'rmse': 0.06757362}"
3370,"{'sdr': -1.3715030252933502, 'r2': 0.4216996431350708, 'rmse': 0.06585293}"
3371,"{'sdr': -1.4769531786441803, 'r2': 0.41578978300094604, 'rmse': 0.06665729}"
3372,"{'sdr': -1.1470460891723633, 'r2': 0.43435192108154297, 'rmse': 0.06417299}"
3373,"{'sdr': -1.3227744400501251, 'r2': 0.4244374632835388, 'rmse': 0.065484546}"
3374,"{'sdr': -1.7002253234386444, 'r2': 0.40335845947265625, 'rmse': 0.06839294}"
3375,"{'sdr': -1.4585581421852112, 'r2': 0.41681545972824097, 'rmse': 0.06651628}"
3376,"{'sdr': -1.1530385911464691, 'r2': 0.43400895595550537, 'rmse': 0.064217284}"
3377,"{'sdr': -1.6935770213603973, 'r2': 0.4037257432937622, 'rmse': 0.06834061}"
3378,"{'sdr': -1.1363580822944641, 'r2': 0.4349566698074341, 'rmse': 0.06409408}"
3379,"{'sdr': -1.3738760352134705, 'r2': 0.4215664863586426, 'rmse': 0.065870926}"
3380,"{'sdr': -1.4176791906356812, 'r2': 0.41910308599472046, 'rmse': 0.06620397}"
3381,"{'sdr': -1.1907146871089935, 'r2': 0.4318699836730957, 'rmse': 0.064496435}"
3382,"{'sdr': -0.4834967479109764, 'r2': 0.47219765186309814, 'rmse': 0.059453152}"
3383,"{'sdr': -1.2670128047466278, 'r2': 0.42757779359817505, 'rmse': 0.06506548}"
3384,"{'sdr': -1.4684371650218964, 'r2': 0.4162660837173462, 'rmse': 0.06659197}"
3385,"{'sdr': -0.9116623550653458, 'r2': 0.44771236181259155, 'rmse': 0.062457293}"
3386,"{'sdr': -1.3218197226524353, 'r2': 0.4244920015335083, 'rmse': 0.065477334}"
3387,"{'sdr': -1.2523442506790161, 'r2': 0.42840468883514404, 'rmse': 0.0649557}"
3388,"{'sdr': -1.558704823255539, 'r2': 0.411224365234375, 'rmse': 0.06728764}"
3389,"{'sdr': -1.1355528235435486, 'r2': 0.43500274419784546, 'rmse': 0.064088136}"
3390,"{'sdr': -1.1054088920354843, 'r2': 0.436708927154541, 'rmse': 0.063866116}"
3391,"{'sdr': -1.2533947825431824, 'r2': 0.4283391833305359, 'rmse': 0.06496355}"
3392,"{'sdr': -0.7182744145393372, 'r2': 0.45874953269958496, 'rmse': 0.06108207}"
3393,"{'sdr': -1.0932309180498123, 'r2': 0.43739956617355347, 'rmse': 0.063776635}"
3394,"{'sdr': -1.0443917661905289, 'r2': 0.4401617646217346, 'rmse': 0.06341903}"
3395,"{'sdr': -1.4978599548339844, 'r2': 0.4146212935447693, 'rmse': 0.066817924}"
3396,"{'sdr': -1.2690548598766327, 'r2': 0.42746293544769287, 'rmse': 0.065080784}"
3397,"{'sdr': -1.0402277112007141, 'r2': 0.4404042959213257, 'rmse': 0.06338863}"
3398,"{'sdr': -1.5914732217788696, 'r2': 0.4093989133834839, 'rmse': 0.067541964}"
3399,"{'sdr': -1.2083694338798523, 'r2': 0.4308868646621704, 'rmse': 0.06462767}"
3400,"{'sdr': -2.1039119362831116, 'r2': 0.3812035322189331, 'rmse': 0.07164661}"
3401,"{'sdr': -1.4835552871227264, 'r2': 0.41541630029678345, 'rmse': 0.06670798}"
3402,"{'sdr': -1.1090344935655594, 'r2': 0.436503529548645, 'rmse': 0.06389277}"
3403,"{'sdr': -1.4309659600257874, 'r2': 0.41836416721343994, 'rmse': 0.06630531}"
3404,"{'sdr': -1.1967303603887558, 'r2': 0.431543231010437, 'rmse': 0.064541124}"
3405,"{'sdr': -0.9618980437517166, 'r2': 0.4448539614677429, 'rmse': 0.06281957}"
3406,"{'sdr': -1.3041388988494873, 'r2': 0.425487220287323, 'rmse': 0.06534419}"
3407,"{'sdr': -1.8369412422180176, 'r2': 0.39580583572387695, 'rmse': 0.06947795}"
3408,"{'sdr': -1.0927248001098633, 'r2': 0.43742436170578003, 'rmse': 0.06377292}"
3409,"{'sdr': -0.9503544867038727, 'r2': 0.4455103278160095, 'rmse': 0.06273614}"
3410,"{'sdr': -1.5341508388519287, 'r2': 0.4125945568084717, 'rmse': 0.067097686}"
3411,"{'sdr': -1.0541008412837982, 'r2': 0.439616858959198, 'rmse': 0.06348996}"
3412,"{'sdr': -1.2942706048488617, 'r2': 0.42604100704193115, 'rmse': 0.06526999}"
3413,"{'sdr': -1.447882354259491, 'r2': 0.4173762798309326, 'rmse': 0.06643457}"
3414,"{'sdr': -1.3836050033569336, 'r2': 0.42101848125457764, 'rmse': 0.06594475}"
3415,"{'sdr': -1.0202524811029434, 'r2': 0.44153809547424316, 'rmse': 0.063243024}"
3416,"{'sdr': -1.3072939217090607, 'r2': 0.4253091812133789, 'rmse': 0.06536792}"
3417,"{'sdr': -1.4467257261276245, 'r2': 0.4174685478210449, 'rmse': 0.06642572}"
3418,"{'sdr': -1.6241708397865295, 'r2': 0.40758049488067627, 'rmse': 0.06779669}"
3419,"{'sdr': -1.3824251294136047, 'r2': 0.42108631134033203, 'rmse': 0.0659358}"
3420,"{'sdr': -1.6619819402694702, 'r2': 0.4054809808731079, 'rmse': 0.068092465}"
3421,"{'sdr': -1.7412135004997253, 'r2': 0.4010891914367676, 'rmse': 0.068716444}"
3422,"{'sdr': -1.1469928175210953, 'r2': 0.43435418605804443, 'rmse': 0.0641726}"
3423,"{'sdr': -0.4864117130637169, 'r2': 0.4720292091369629, 'rmse': 0.059473097}"
3424,"{'sdr': -0.9120318293571472, 'r2': 0.4476785659790039, 'rmse': 0.062459946}"
3425,"{'sdr': -1.2079639732837677, 'r2': 0.43090999126434326, 'rmse': 0.064624645}"
3426,"{'sdr': -1.8272626399993896, 'r2': 0.39633888006210327, 'rmse': 0.069400586}"
3427,"{'sdr': -1.6362620890140533, 'r2': 0.40690773725509644, 'rmse': 0.06789114}"
3428,"{'sdr': -1.7027224600315094, 'r2': 0.4032195210456848, 'rmse': 0.06841261}"
3429,"{'sdr': -1.5218694508075714, 'r2': 0.4132762551307678, 'rmse': 0.06700288}"
3430,"{'sdr': -0.8103059232234955, 'r2': 0.4534901976585388, 'rmse': 0.061732702}"
3431,"{'sdr': -1.3594351708889008, 'r2': 0.4223775267601013, 'rmse': 0.06576151}"
3432,"{'sdr': -1.4233049750328064, 'r2': 0.4187936782836914, 'rmse': 0.066246845}"
3433,"{'sdr': -0.8165895193815231, 'r2': 0.4531288743019104, 'rmse': 0.06177738}"
3434,"{'sdr': -1.4213564991950989, 'r2': 0.41890275478363037, 'rmse': 0.066231996}"
3435,"{'sdr': -1.4923246204853058, 'r2': 0.41493070125579834, 'rmse': 0.06677535}"
3436,"{'sdr': 2.0014232397079468, 'r2': 0.613210529088974, 'rmse': 0.044661045}"
3437,"{'sdr': -1.2701915204524994, 'r2': 0.42739880084991455, 'rmse': 0.0650893}"
3438,"{'sdr': -1.2374555319547653, 'r2': 0.4292445182800293, 'rmse': 0.064844444}"
3439,"{'sdr': -1.9289378821849823, 'r2': 0.3907526731491089, 'rmse': 0.070217736}"
3440,"{'sdr': -0.935528576374054, 'r2': 0.44635093212127686, 'rmse': 0.06262913}"
3441,"{'sdr': -1.6229015588760376, 'r2': 0.407650351524353, 'rmse': 0.06778679}"
3442,"{'sdr': -1.2514671683311462, 'r2': 0.4284542202949524, 'rmse': 0.06494913}"
3443,"{'sdr': -1.2477951496839523, 'r2': 0.4286613464355469, 'rmse': 0.064921685}"
3444,"{'sdr': -1.7188596725463867, 'r2': 0.4023260474205017, 'rmse': 0.06853983}"
3445,"{'sdr': -1.7643211781978607, 'r2': 0.3998112082481384, 'rmse': 0.068899505}"
3446,"{'sdr': -1.200309470295906, 'r2': 0.4313424229621887, 'rmse': 0.06456772}"
3447,"{'sdr': -1.574861854314804, 'r2': 0.4103241562843323, 'rmse': 0.067412905}"
3448,"{'sdr': -1.0953613370656967, 'r2': 0.43727803230285645, 'rmse': 0.06379227}"
3449,"{'sdr': -1.0647663474082947, 'r2': 0.43901240825653076, 'rmse': 0.063567966}"
3450,"{'sdr': -0.6698236614465714, 'r2': 0.4615180492401123, 'rmse': 0.060742293}"
3451,"{'sdr': -0.7466921210289001, 'r2': 0.4571220874786377, 'rmse': 0.061282236}"
3452,"{'sdr': -1.9419710338115692, 'r2': 0.3900451064109802, 'rmse': 0.07032319}"
3453,"{'sdr': -1.2645138800144196, 'r2': 0.42771393060684204, 'rmse': 0.065046765}"
3454,"{'sdr': -1.6015823185443878, 'r2': 0.4088360071182251, 'rmse': 0.06762062}"
3455,"{'sdr': -1.3639529049396515, 'r2': 0.422122061252594, 'rmse': 0.06579572}"
3456,"{'sdr': -1.0483726859092712, 'r2': 0.43994230031967163, 'rmse': 0.0634481}"
3457,"{'sdr': -1.758197695016861, 'r2': 0.4001493453979492, 'rmse': 0.06885094}"
3458,"{'sdr': -1.1369052529335022, 'r2': 0.434897243976593, 'rmse': 0.06409811}"
3459,"{'sdr': -1.9507360458374023, 'r2': 0.3895571827888489, 'rmse': 0.07039419}"
3460,"{'sdr': -0.8585023880004883, 'r2': 0.4507409334182739, 'rmse': 0.0620762}"
3461,"{'sdr': -1.2894198298454285, 'r2': 0.42630916833877563, 'rmse': 0.06523355}"
3462,"{'sdr': -1.6542547941207886, 'r2': 0.40590834617614746, 'rmse': 0.06803193}"
3463,"{'sdr': -1.5152214467525482, 'r2': 0.4136510491371155, 'rmse': 0.06695162}"
3464,"{'sdr': -1.3066363334655762, 'r2': 0.42534583806991577, 'rmse': 0.06536298}"
3465,"{'sdr': -1.5985724329948425, 'r2': 0.4090037941932678, 'rmse': 0.06759718}"
3466,"{'sdr': -1.2923933565616608, 'r2': 0.42614811658859253, 'rmse': 0.06525588}"
3467,"{'sdr': -1.4467693865299225, 'r2': 0.41747915744781494, 'rmse': 0.06642606}"
3468,"{'sdr': -1.152268648147583, 'r2': 0.43405598402023315, 'rmse': 0.0642116}"
3469,"{'sdr': -1.915077269077301, 'r2': 0.39151108264923096, 'rmse': 0.070105776}"
3470,"{'sdr': -1.5899640321731567, 'r2': 0.4094815254211426, 'rmse': 0.06753022}"
3471,"{'sdr': -1.3630780577659607, 'r2': 0.4221726655960083, 'rmse': 0.065789096}"
3472,"{'sdr': -1.7023468017578125, 'r2': 0.40324074029922485, 'rmse': 0.06840965}"
3473,"{'sdr': -1.3567183911800385, 'r2': 0.4225301146507263, 'rmse': 0.065740936}"
3474,"{'sdr': -1.4366993308067322, 'r2': 0.41804075241088867, 'rmse': 0.06634908}"
3475,"{'sdr': -1.4957170188426971, 'r2': 0.4147408604621887, 'rmse': 0.066801436}"
3476,"{'sdr': -1.2885770201683044, 'r2': 0.4263630509376526, 'rmse': 0.06522722}"
3477,"{'sdr': -2.119286060333252, 'r2': 0.38036859035491943, 'rmse': 0.07177353}"
3478,"{'sdr': -1.077527180314064, 'r2': 0.4382888078689575, 'rmse': 0.06366142}"
3479,"{'sdr': -0.7660482823848724, 'r2': 0.4560144543647766, 'rmse': 0.06141895}"
3480,"{'sdr': -0.8993599563837051, 'r2': 0.4484119415283203, 'rmse': 0.062368892}"
3481,"{'sdr': -1.5463809669017792, 'r2': 0.4119114875793457, 'rmse': 0.06719223}"
3482,"{'sdr': -1.6782061755657196, 'r2': 0.40457916259765625, 'rmse': 0.06821978}"
3483,"{'sdr': -0.8148247003555298, 'r2': 0.45323145389556885, 'rmse': 0.061764833}"
3484,"{'sdr': -1.2511880695819855, 'r2': 0.42846983671188354, 'rmse': 0.06494705}"
3485,"{'sdr': -1.5056213736534119, 'r2': 0.41416752338409424, 'rmse': 0.066877656}"
3486,"{'sdr': -1.4421914517879486, 'r2': 0.4177358150482178, 'rmse': 0.06639106}"
3487,"{'sdr': -2.0726054906845093, 'r2': 0.38290661573410034, 'rmse': 0.07138883}"
3488,"{'sdr': -0.765472799539566, 'r2': 0.4560486674308777, 'rmse': 0.061414883}"
3489,"{'sdr': -1.6255651414394379, 'r2': 0.4075022339820862, 'rmse': 0.06780759}"
3490,"{'sdr': -1.3147705793380737, 'r2': 0.4248882532119751, 'rmse': 0.065424204}"
3491,"{'sdr': -0.8782868832349777, 'r2': 0.4496145248413086, 'rmse': 0.062217757}"
3492,"{'sdr': -1.2253881245851517, 'r2': 0.42992520332336426, 'rmse': 0.06475442}"
3493,"{'sdr': -1.401347666978836, 'r2': 0.42002469301223755, 'rmse': 0.066079594}"
3494,"{'sdr': -1.2312158197164536, 'r2': 0.429596483707428, 'rmse': 0.06479788}"
3495,"{'sdr': -1.654626578092575, 'r2': 0.40588778257369995, 'rmse': 0.068034835}"
3496,"{'sdr': -0.8238937705755234, 'r2': 0.45271390676498413, 'rmse': 0.06182935}"
3497,"{'sdr': 4.370875060558319, 'r2': 0.7323189675807953, 'rmse': 0.033998225}"
3498,"{'sdr': -0.8680327981710434, 'r2': 0.4501989483833313, 'rmse': 0.062144347}"
3499,"{'sdr': -1.4156630635261536, 'r2': 0.4192240834236145, 'rmse': 0.066188596}"
3500,"{'sdr': -0.7598737627267838, 'r2': 0.4563695788383484, 'rmse': 0.061375313}"
3501,"{'sdr': -1.454923301935196, 'r2': 0.4170214533805847, 'rmse': 0.066488445}"
3502,"{'sdr': -0.8801711350679398, 'r2': 0.449499249458313, 'rmse': 0.062231254}"
3503,"{'sdr': -2.059517800807953, 'r2': 0.3836178183555603, 'rmse': 0.07128135}"
3504,"{'sdr': -1.8879155814647675, 'r2': 0.3930017352104187, 'rmse': 0.06988689}"
3505,"{'sdr': -1.4913474023342133, 'r2': 0.4149835705757141, 'rmse': 0.06676785}"
3506,"{'sdr': -0.9643231332302094, 'r2': 0.4447161555290222, 'rmse': 0.0628371}"
3507,"{'sdr': -1.3522587716579437, 'r2': 0.42277663946151733, 'rmse': 0.0657072}"
3508,"{'sdr': -1.2373294681310654, 'r2': 0.4292515516281128, 'rmse': 0.064843506}"
3509,"{'sdr': -1.2876085937023163, 'r2': 0.42641621828079224, 'rmse': 0.06521994}"
3510,"{'sdr': -1.47528737783432, 'r2': 0.41588294506073, 'rmse': 0.06664451}"
3511,"{'sdr': -1.3962849974632263, 'r2': 0.4203076958656311, 'rmse': 0.06604109}"
3512,"{'sdr': -1.0151589661836624, 'r2': 0.4418274760246277, 'rmse': 0.06320594}"
3513,"{'sdr': -1.5331585705280304, 'r2': 0.4126651883125305, 'rmse': 0.06709003}"
3514,"{'sdr': -1.332084834575653, 'r2': 0.42391276359558105, 'rmse': 0.06555475}"
3515,"{'sdr': -1.2191644310951233, 'r2': 0.43028438091278076, 'rmse': 0.06470804}"
3516,"{'sdr': -0.8961451053619385, 'r2': 0.4485982060432434, 'rmse': 0.062345807}"
3517,"{'sdr': -1.5851843357086182, 'r2': 0.40974950790405273, 'rmse': 0.067493066}"
3518,"{'sdr': -1.705935001373291, 'r2': 0.4030419588088989, 'rmse': 0.06843792}"
3519,"{'sdr': -1.2969356775283813, 'r2': 0.4258922338485718, 'rmse': 0.06529001}"
3520,"{'sdr': -1.1722267419099808, 'r2': 0.43292826414108276, 'rmse': 0.0643593}"
3521,"{'sdr': -0.9539330750703812, 'r2': 0.4453064799308777, 'rmse': 0.062761985}"
3522,"{'sdr': -1.5299052000045776, 'r2': 0.41283130645751953, 'rmse': 0.067064896}"
3523,"{'sdr': -1.2200447171926498, 'r2': 0.43022698163986206, 'rmse': 0.06471459}"
3524,"{'sdr': -1.0953520238399506, 'r2': 0.43727821111679077, 'rmse': 0.06379219}"
3525,"{'sdr': -0.962606891989708, 'r2': 0.4448140263557434, 'rmse': 0.06282469}"
3526,"{'sdr': -1.0235199332237244, 'r2': 0.4413526654243469, 'rmse': 0.06326682}"
3527,"{'sdr': -0.32997380942106247, 'r2': 0.4810141324996948, 'rmse': 0.05841155}"
3528,"{'sdr': -1.3286830484867096, 'r2': 0.42410480976104736, 'rmse': 0.0655291}"
3529,"{'sdr': -1.7140808701515198, 'r2': 0.40259021520614624, 'rmse': 0.06850213}"
3530,"{'sdr': -1.4417454600334167, 'r2': 0.41775965690612793, 'rmse': 0.066387646}"
3531,"{'sdr': -1.9619899988174438, 'r2': 0.38894134759902954, 'rmse': 0.07048546}"
3532,"{'sdr': -1.3597173988819122, 'r2': 0.4223597049713135, 'rmse': 0.065763645}"
3533,"{'sdr': -1.0620904713869095, 'r2': 0.43915218114852905, 'rmse': 0.063548386}"
3534,"{'sdr': -1.95291206240654, 'r2': 0.38943785429000854, 'rmse': 0.07041184}"
3535,"{'sdr': -1.616569310426712, 'r2': 0.40800249576568604, 'rmse': 0.0677374}"
3536,"{'sdr': -1.5136456489562988, 'r2': 0.41374021768569946, 'rmse': 0.06693948}"
3537,"{'sdr': -0.5355314910411835, 'r2': 0.46921253204345703, 'rmse': 0.059810378}"
3538,"{'sdr': -1.2496201694011688, 'r2': 0.428558349609375, 'rmse': 0.06493532}"
3539,"{'sdr': -1.0419703274965286, 'r2': 0.4403049945831299, 'rmse': 0.06340135}"
3540,"{'sdr': -1.3318860530853271, 'r2': 0.4239257574081421, 'rmse': 0.06555327}"
3541,"{'sdr': -1.5797916054725647, 'r2': 0.4100494980812073, 'rmse': 0.06745119}"
3542,"{'sdr': -1.5757924318313599, 'r2': 0.41027235984802246, 'rmse': 0.06742014}"
3543,"{'sdr': -1.2474584579467773, 'r2': 0.42867952585220337, 'rmse': 0.064919166}"
3544,"{'sdr': 0.5226940661668777, 'r2': 0.5300515294075012, 'rmse': 0.05294992}"
3545,"{'sdr': -0.76279416680336, 'r2': 0.45620250701904297, 'rmse': 0.061395954}"
3546,"{'sdr': -0.7990734279155731, 'r2': 0.4541153311729431, 'rmse': 0.06165293}"
3547,"{'sdr': -1.3029921054840088, 'r2': 0.42554205656051636, 'rmse': 0.06533556}"
3548,"{'sdr': -1.674635261297226, 'r2': 0.40477800369262695, 'rmse': 0.06819173}"
3549,"{'sdr': -1.8920569121837616, 'r2': 0.39277493953704834, 'rmse': 0.06992023}"
3550,"{'sdr': -1.1667708307504654, 'r2': 0.4332319498062134, 'rmse': 0.06431888}"
3551,"{'sdr': -1.424664556980133, 'r2': 0.4187290668487549, 'rmse': 0.06625722}"
3552,"{'sdr': -1.0522250086069107, 'r2': 0.4397197365760803, 'rmse': 0.06347625}"
3553,"{'sdr': -1.7803043127059937, 'r2': 0.3989274501800537, 'rmse': 0.0690264}"
3554,"{'sdr': -0.3961557149887085, 'r2': 0.4772111177444458, 'rmse': 0.058858313}"
3555,"{'sdr': -1.3596192002296448, 'r2': 0.4223657250404358, 'rmse': 0.0657629}"
3556,"{'sdr': -1.3271908462047577, 'r2': 0.4241896867752075, 'rmse': 0.065517835}"
3557,"{'sdr': -0.9163890033960342, 'r2': 0.44744330644607544, 'rmse': 0.062491287}"
3558,"{'sdr': -1.456499993801117, 'r2': 0.416934072971344, 'rmse': 0.066500515}"
3559,"{'sdr': -1.5130570530891418, 'r2': 0.4137715697288513, 'rmse': 0.066934936}"
3560,"{'sdr': -1.0560903698205948, 'r2': 0.4395047426223755, 'rmse': 0.0635045}"
3561,"{'sdr': -0.9575411677360535, 'r2': 0.44507282972335815, 'rmse': 0.06278806}"
3562,"{'sdr': -1.6042187809944153, 'r2': 0.4086875319480896, 'rmse': 0.06764115}"
3563,"{'sdr': -1.4723396301269531, 'r2': 0.41604793071746826, 'rmse': 0.06662189}"
3564,"{'sdr': -0.8092612773180008, 'r2': 0.45354950428009033, 'rmse': 0.061725277}"
3565,"{'sdr': -1.1627303063869476, 'r2': 0.4334631562232971, 'rmse': 0.064288974}"
3566,"{'sdr': -1.0144301503896713, 'r2': 0.4418686628341675, 'rmse': 0.06320064}"
3567,"{'sdr': -1.1530264467000961, 'r2': 0.4340119957923889, 'rmse': 0.064217195}"
3568,"{'sdr': -1.9331339001655579, 'r2': 0.39052122831344604, 'rmse': 0.07025167}"
3569,"{'sdr': -1.483875811100006, 'r2': 0.4154003858566284, 'rmse': 0.066710435}"
3570,"{'sdr': -1.1006241291761398, 'r2': 0.43698012828826904, 'rmse': 0.06383093}"
3571,"{'sdr': -1.4519664645195007, 'r2': 0.41718780994415283, 'rmse': 0.06646582}"
3572,"{'sdr': -1.2521855533123016, 'r2': 0.42841386795043945, 'rmse': 0.0649545}"
3573,"{'sdr': -1.7712171375751495, 'r2': 0.39943069219589233, 'rmse': 0.068954214}"
3574,"{'sdr': -1.4184029400348663, 'r2': 0.4190683960914612, 'rmse': 0.06620947}"
3575,"{'sdr': -1.5840475261211395, 'r2': 0.4098120331764221, 'rmse': 0.06748424}"
3576,"{'sdr': -0.38395244628190994, 'r2': 0.47791391611099243, 'rmse': 0.05877568}"
3577,"{'sdr': -0.9785694628953934, 'r2': 0.44390588998794556, 'rmse': 0.06294025}"
3578,"{'sdr': -1.1084213107824326, 'r2': 0.4365423917770386, 'rmse': 0.06388826}"
3579,"{'sdr': -1.100626140832901, 'r2': 0.4369814395904541, 'rmse': 0.06383094}"
